,EEM US Equity,EMB US Equity,IEF US Equity,LQD US Equity,MCHI US Equity,SHY US Equity,SPY US Equity,TLT US Equity,VEA US Equity
2014-01-10,40.27,108.79,100.62,115.13,46.3,84.42,184.14,104.41,41.46
2014-01-13,39.79,108.88,100.91,115.35,45.5,84.44,181.685,104.93,41.11
2014-01-14,40.22,108.98,100.53,115.01,46.13,84.42,183.67,104.45,41.4201
2014-01-15,40.21,109.0,100.44,115.04,46.04,84.39,184.66,104.34,41.62
2014-01-16,39.99,109.1,100.72,115.31,45.76,84.41,184.42,105.04,41.55
2014-01-17,39.79,109.16,100.96,115.44,45.76,84.41,183.635,105.48,41.45
2014-01-21,39.73,108.93,100.85,115.28,45.71,84.4,184.18,105.56,41.62
2014-01-22,40.26,108.6,100.57,115.0,46.6,84.36,184.3,105.3,41.66
2014-01-23,39.27,108.14,101.25,115.44,44.98,84.44,182.79,106.79,41.35
2014-01-24,38.24,107.55,101.66,115.36,43.68,84.47,178.89,107.48,40.21
2014-01-27,38.09,107.43,101.35,115.14,43.535,84.46,178.01,106.73,40.02
2014-01-28,38.33,108.0299,101.5,115.7,43.98,84.46,179.07,106.99,40.42
2014-01-29,37.78,107.75,101.98,115.93,43.83,84.52,177.35,107.87,39.94
2014-01-30,38.13,107.54,101.88,115.99,43.93,84.51,179.23,107.56,40.15
2014-01-31,38.19,107.28,102.28,116.34,43.91,84.55,178.18,108.28,39.51
2014-02-03,37.11,106.69,102.66,116.74,42.77,84.55,174.17,109.32,38.75
2014-02-04,37.86,107.4,102.35,116.18,43.34,84.56,175.385,108.16,39.15
2014-02-05,37.72,107.72,101.98,115.81,42.85,84.52,175.17,107.16,39.19
2014-02-06,38.51,107.93,101.79,115.7,43.49,84.53,177.48,106.7,39.96
2014-02-07,38.73,108.6,102.06,116.06,43.77,84.55,179.68,106.79,40.4
2014-02-10,38.3,108.42,102.11,116.11,43.48,84.53,180.01,107.09,40.22
2014-02-11,39.13,108.49,101.66,115.87,44.8,84.51,181.98,106.47,40.88
2014-02-12,39.14,108.48,101.42,115.52,44.75,84.47,182.07,105.92,40.98
2014-02-13,39.18,108.47,101.9,116.0,45.06,84.52,183.01,106.52,41.05
2014-02-14,39.66,108.53,101.83,116.22,45.42,84.52,184.02,106.58,41.23
2014-02-18,39.29,108.54,102.08,116.46,45.35,84.55,184.24,106.82,41.57
2014-02-19,39.02,108.39,101.88,116.33,45.48,84.52,183.02,106.37,41.25
2014-02-20,39.16,108.24,101.77,116.18,45.27,84.53,184.1,106.11,41.4
2014-02-21,39.43,108.72,101.9,116.3,45.36,84.54,183.89,106.67,41.5
2014-02-24,39.43,109.36,101.8,116.36,44.87,84.54,184.91,106.4,41.85
2014-02-25,38.98,109.46,102.15,116.81,44.1,84.53,184.84,107.35,41.77
2014-02-26,39.01,109.45,102.45,117.19,44.3,84.57,184.85,107.92,41.64
2014-02-27,39.75,109.96,102.57,117.39,45.45,84.56,185.82,108.51,41.81
2014-02-28,39.48,110.54,102.47,117.32,45.27,84.56,186.29,108.57,41.86
2014-03-03,38.78,109.12,102.81,117.28,44.81,84.59,184.98,109.03,41.01
2014-03-04,39.44,109.84,102.02,116.65,45.32,84.52,187.58,107.39,41.82
2014-03-05,39.47,109.96,102.13,116.59,44.88,84.55,187.75,107.62,41.73
2014-03-06,40.03,109.74,101.69,116.24,45.37,84.5,188.18,106.56,42.2
2014-03-07,39.52,109.55,101.25,115.82,44.8,84.44,188.26,105.89,41.98
2014-03-10,39.25,109.33,101.36,115.64,44.17,84.45,188.16,106.04,41.7
2014-03-11,38.81,109.12,101.46,115.68,43.6,84.45,187.23,106.32,41.41
2014-03-12,38.89,109.14,101.86,116.09,43.45,84.48,187.28,107.06,41.23
2014-03-13,38.19,108.93,102.46,116.5,42.48,84.53,185.18,108.5,40.5
2014-03-14,38.4,109.16,102.47,116.37,42.42,84.51,184.66,108.52,40.4
2014-03-17,38.87,109.28,102.06,116.22,42.52,84.48,186.33,107.71,40.89
2014-03-18,39.41,109.6,102.31,116.58,43.2,84.5,187.66,108.1,41.15
2014-03-19,38.57,109.5,101.36,115.74,42.6,84.36,186.66,107.26,40.64
2014-03-20,38.74,109.43,101.38,115.9,42.41,84.37,187.747,107.07,40.48
2014-03-21,38.98,109.28,101.57,116.3,43.37,84.38,186.2,108.23,40.41
2014-03-24,39.36,109.68,101.61,116.52,43.7,84.34,185.43,109.0,40.48
2014-03-25,39.81,109.97,101.55,116.56,44.01,84.35,186.31,108.59,40.51
2014-03-26,39.9,110.29,101.98,117.01,43.9,84.41,184.97,109.44,40.52
2014-03-27,40.42,111.05,102.08,117.04,44.12,84.4,184.58,109.99,40.75
2014-03-28,40.74,110.99,101.72,116.95,44.93,84.4,185.49,109.37,41.04
2014-03-31,41.01,111.42,101.73,116.94,44.99,84.45,187.01,109.1,41.27
2014-04-01,41.49,111.63,101.33,116.31,45.35,84.38,188.25,107.89,41.57
2014-04-02,41.57,111.04,100.89,116.15,45.47,84.35,188.88,107.27,41.64
2014-04-03,41.41,110.93,100.96,116.37,45.37,84.37,188.63,107.74,41.5
2014-04-04,41.3,111.6,101.58,116.83,44.99,84.44,186.4,108.46,41.39
2014-04-07,41.475,111.33,101.82,117.11,45.13,84.445,184.34,109.11,41.2
2014-04-08,41.96,111.85,101.96,117.42,45.68,84.46,185.1,109.37,41.17
2014-04-09,42.28,111.93,101.93,117.52,46.3,84.5,187.09,108.83,41.74
2014-04-10,41.83,112.46,102.36,117.68,46.4,84.55,183.155,109.84,40.99
2014-04-11,41.83,112.28,102.57,117.76,45.89,84.54,181.51,110.73,40.76
2014-04-14,41.74100000000001,112.06,102.41,117.84,45.88,84.53,182.9401,110.44,40.99
2014-04-15,41.11,111.67,102.53,118.09,44.74,84.53,184.2,111.13,40.79
2014-04-16,41.63,111.99,102.37,118.14,45.29,84.5,186.125,111.27,41.33
2014-04-17,42.01,112.11,101.79,117.46,45.43,84.48,186.39,110.05,41.48
2014-04-21,41.75,112.31,101.77,117.62,45.14,84.48,187.04,109.96,41.55
2014-04-22,41.64,112.2,101.73,117.68,44.89,84.44,187.89,110.33,41.72
2014-04-23,41.34,112.06,101.99,117.94,44.46,84.48,187.45,110.96,41.61
2014-04-24,41.38,111.95,101.96,117.96,44.45,84.46,187.83,111.17,41.6
2014-04-25,40.82,111.55,102.1,117.94,44.06,84.47,186.29,111.33,41.4
2014-04-28,41.02,111.59,101.95,117.8,43.6,84.47,186.875,110.79,41.52
2014-04-29,41.41,112.03,102.04,117.82,44.16,84.46,187.75,110.64,41.79
2014-04-30,41.33,112.17,102.31,118.15,43.84,84.52,188.31,111.1,41.92
2014-05-01,41.38,111.73,102.41,118.3,43.91,84.5,188.325,112.02,42.06
2014-05-02,41.61,111.99,102.56,118.55,44.12,84.49,188.06,112.71,42.0
2014-05-05,41.38,112.03,102.5,118.25,43.72,84.5,188.42,112.03,41.95
2014-05-06,41.57,112.39,102.62,118.45,43.73,84.47,186.78,112.48,41.89
2014-05-07,41.79,113.29,102.7,118.47,43.59,84.5,187.88,112.08,41.93
2014-05-08,41.69,113.77,102.81,118.5,43.35,84.52,187.675,111.6,41.92
2014-05-09,41.62,113.55,102.732,118.37,43.29,84.55,187.96,111.24,41.86
